ProviderID,Provider Name,Group Provider,Email,Postal address,Centre address,Telephone no,Room_Floor,Building,House Number,StreetName,Mini_Suburb,Suburb,City,Postal Code,Comment,Website,ContactName,ContactSurname,ID,ETQAs_providers_ID,OldStreetData,Old_Room_Floor,Old_Building,Old_House Number,Old_StreetName,Old_Suburb,Old_City,Old_Postal Code
339,BRANDVLEI CORRECTIONAL SERVICES,,,,"BRANDVLEI PRISON, RAWSONVILLE ROAD, WORCESTER",023-3408018,,BRANDVLEI PRISON,,RAWSONVILLE ROAD,,WORCESTER,WORCESTER,,,,,,549,12,Rough Work,,BRANDVLEI PRISON,,RAWSONVILLE ROAD,WORCESTER,WORCESTER,
34,MCD Training Centre (Pty) Ltd (CAPE TOWN) (TP),,bothacm@mcdtraining.co.za,"P O Box 300, PAARDENEILAND 7420","Duncan Road (Next to Royal Yacht Club), Table Bay Harbour, CAPE TOWN, 7420",087 813-0038,,,,Duncan Road (Next to Royal Yacht Club),,Table Bay Harbour,,7420,,,,,550,8,Rough Work,,,,Duncan Road (Next to Royal Yacht Club),Table Bay Harbour,,7420
340,BRANDWAG,,,,"BRANDWAG, MOSSELBAAI, MOSSELBAAI",044-6934171,,BRANDWAG,,MOSSELBAAI,,MOSSELBAAI,MOSSELBAAI,,,,,,551,12,Rough Work,,BRANDWAG,,MOSSELBAAI,MOSSELBAAI,MOSSELBAAI,
341,BREDASDORP,,,,"RECREATION STREET, BREDASDORP, BREDASDORP",028-4252763,,,,RECREATION STREET,,BREDASDORP,BREDASDORP,,,,,,552,12,Rough Work,,,,RECREATION STREET,BREDASDORP,BREDASDORP,
343,BREëRIVIER WYNLAND CLC,,,,"PADDY STREET, ROBERTSON, ROBERTSON",023-6262542,,,,PADDY STREET,,ROBERTSON,ROBERTSON,,,,,,553,12,Rough Work,,,,PADDY STREET,ROBERTSON,ROBERTSON,
345,Bridges of Hope Training,,peter@boht.org,5 Scott Road Hout Bay Cape Town 7806,5 Scott Road Hout Bay Cape Town 7806,021- 790 3245,,,5,Scott Road,,Hout Bay,Cape Town,,,,,,554,25,Rough Work,,,,5 Scott Road Hout Bay Cape Town 7806,,,7806
346,BRIDGETOWN ALC,,,,"BRUSHWOOD ROAD, BRIDGETOWN, CAPE TOWN",021-6371435,,,,BRUSHWOOD ROAD,,BRIDGETOWN,CAPE TOWN,,,,,,555,12,Rough Work,,,,BRUSHWOOD ROAD,BRIDGETOWN,CAPE TOWN,
347,Bright Idea Projects 2082 CC,,marchallhyster@rocketmail.com,P O Box 1453 Saldanha 7395,234 Tonyn Street White City Saldanha Western Cape 7395,022-714 1731,,,234,Tonyn Street,,White City,Saldanha,7395,,,,,556,9,Rough Work,,,,234 Tonyn Street White City Saldanha Western Cape 7395,,,7395
349,British American Tobacco South Africa Pty Ltd,,henk_paxton@bat.com,P O Box 631 Cape Town Cape Town Metro Urban 8000,British American Tobacco South Africa Pty Ltd 25 Du Toit Street Stellenbosch Stellenbosch Urban 8000,021-8883500,,,25,Du Toit Street,,Stellenbosch,Stellenbosch,,,,,,557,20,Rough Work,,,,British American Tobacco South Africa Pty Ltd 25 Du Toit Street Stellenbosch Stellenbosch Urban 8000,,,
35,MED WORKSHOP T/A MED TRAINING CENTRE (Epping)(TP),,,,,,,,18,Rose Ave,,Kirstenhof,,7945,Address Added,,,,558,8,Rough Work,,,,,,,
351,Bromor Foods (Pty) Ltd,,,PO Box 28 Cape Town,,,,,5,Morningside Rd,,Ndabeni,Cape Town,,,,,,559,3,Rough Work,,,,,,,
352,BROODKRAAL,,,,"PA BROODKRAAL, PIKETBERG, PIKETBERG",022-9131309,,PA BROODKRAAL,,PIKETBERG,,PIKETBERG,PIKETBERG,,,,,,560,12,Rough Work,,PA BROODKRAAL,,PIKETBERG,PIKETBERG,PIKETBERG,
353,BSC  CONSULTANTS,,ivan@bscsurvey.co.za,P. O. BOX 405 PAROW 7499,8 WATTLE ROAD TYGERBERG,021-9134565,,,8,WATTLE ROAD,,TYGERBERG,Cape Town,,,,,,561,3,Rough Work,,,,8 WATTLE ROAD TYGERBERG,,,
354,BSI College (Pty) Ltd ,,info@bsisa.co.za,,"5th Floor, The Strand
37 Strand Street
Cape Town
Western Cape, 8000",021 424 3909,5th Floor,The Strand,37,Strand Street,,Cape Town,,,,,,,562,2,Rough Work,5th Floor,The Strand,37,Strand Street,Cape Town,,
355,BUCCANEER GUNS CC CAPE TOWN ,,info@capetowncid.co.za,"65 Waterkant Street Cape Town City Centre, Cape Town, 8001‎","65 Waterkant Street Cape Town City Centre, Cape Town, 8001‎",,,,65,Waterkant Street,,Cape Town City Centre,Cape Town,,,,,,563,18,Rough Work,,,,65 Waterkant Street Cape Town City Centre,Cape Town,,
357,BUFFELJAGSRIVIER CORRECTIONAL SERVICES,,,,"SOMERSET STREET, SWELLENDAM, SWELENDAM",028-5128000,,,,SOMERSET STREET,,SWELLENDAM,SWELENDAM,,,,,,564,12,Rough Work,,,,SOMERSET STREET,SWELLENDAM,SWELENDAM,
358,BUILD ADULT LEARNING CO-OPERATIVE (BALC,,,,"SHIPMAN ROAD, DIEPRIVIER, DIEPRIVIER",021-7157497,,,,SHIPMAN ROAD,,DIEPRIVIER,DIEPRIVIER,,,,,,565,12,Rough Work,,,,SHIPMAN ROAD,DIEPRIVIER,DIEPRIVIER,
359,Business Development Centre of Excellence,,nicola@bdce.co.za,P O Box 2115 Durbanville 7551,5 Mountainview Crescent Durbell Durbanville 7550,021- 979 2157,,,5,Mountainview Crescent,,Durbell Durbanville,,,,,,,566,25,Rough Work,,,,5 Mountainview Crescent Durbell Durbanville 7550,,,7550
360,Business Development Centre of Excellence CC - Cape Town ,,,"PO Box 2115, Durbanville, 7551","5 Mountain View Crescent, Durbell, Durbanville, 7550",021 975 1107,,,5,Mountain View Crescent,,Durbell,Durbanville,7550,,,,,567,2,Rough Work,,,5,Mountain View Crescent,Durbell,Durbanville,7550
361,Business Presentation Group (Pty) Ltd,,mandy.smith@bpg.co.za,P O Box 470 Constantia 7848,Unit D11 Westlake Square Westlake 7945,021- 701 1336,,,,Westlake Square,,Westlake,,,,,,,568,25,Rough Work,,,,Unit D11 Westlake Square Westlake 7945,,,7945
362,Buzz-word Training College,,buzzword@mweb.co.za,19 Picton Road Parow 7499,19 Picton Road Parow Western Cape 7499,021- 939 9440,,,19,Picton Road,,Parow Industria,Cape Town,7499,,,,,569,9,Rough Work,,,,19 Picton Road Parow Western Cape 7499,,,7499
363,C2 Digital Print,,claude@c2digital.co.za,Unit 6  Michelle Close,,021- 592 7430,,,,Michelle Close,,GOODWOOD,,7460,,,Claude Gleichmann,,570,4,,,,,Unit 6 Michelle Close,GOODWOOD,,7460
366,CAE College of Audio Engineering,,cae@mweb.co.za,P.O.Box 3650 Tygervalley Cape Town 7536,15 Hillrise Crescent Durbell Durbanville Cape Town Western Cape 7550,021- 976 4070,,,15,Hillrise Crescent,Durbell,Durbanville,Cape Town,7550,,,,,571,9,Rough Work,,,,15 Hillrise Crescent Durbell Durbanville Cape Town Western Cape 7550,,,7550
367,CALITZDORP,,,,"OLD LIBRARY BUILDING, BERGSIG, CALITZDORP",044-2793253,,OLD LIBRARY BUILDING,,BERGSIG,,BERGSIG,CALITZDORP,,,,,,572,12,Rough Work,,OLD LIBRARY BUILDING,,BERGSIG,BERGSIG,CALITZDORP,
368,Call the Rain cc,,nicolene@calltherain.co.za,P O Box 4721 Tygervalley 7536,9 Rosendale Street Bellville 7538,021- 919 4365,,,9,Rosendale Street,,Bellville,,,,,,,573,25,Rough Work,,,,9 Rosendale Street Bellville 7538,,,7538
37,MIKES AUTO ELECTRICAL CC (Tokai),,crashie@netpoint.co.za,"P O Box 53, PLUMSTEAD, 7801","217 Main Road, Tokai, CAPE TOWN, 7945",021 712-9267,,,217,Main Road,,Tokai,,7945,,,,,574,8,Rough Work,,,,217 Main Road,Tokai,,7945
370,Cape Craft & Design Institute,,dammon.rice@ccdi.org.za;sarah.polonsky@ccdi.org.za,,,214611488,2nd Floo,Harrington House,37,Barrack Street,,"East City, Cape Town",,8001,,,,,575,22,Room2. 413 Admin Building,,,Room2. 413 Admin Building,,Cape Town,,8000
371,Cape Craft & Design Institute,,sarah.polonsky@ccdi.org.za,PO BOX 652 CAPE TOWN 8000,"Room2. 413 Admin Building, Cape Peninsula University of Technology CAPE TOWN Western Cape 8000",021-4603982,Room2,413 Admin Building,,Cape Peninsula University of Technology,,CAPE TOWN,CAPE TOWN,8000,,,Duplicate Suburb/City,,576,9,Rough Work,,,,Room2. 413 Admin Building,Cape Peninsula University of Technology CAPE TOWN Western Cape 8000,,
372,CAPE GLOBAL CONSTRUCTION & ENGINEERING TRAINING CENTRE (Vredenburg)(TP,,mary@capeglobal.co.za,0,CAPE GLOBAL CONSTRUCTION & ENGINEERING TRAINING CENTRE (Vredenburg)(TP,022-7135055,,CAPE GLOBAL CONSTRUCTION & ENGINEERING TRAINING CENTRE,,,,Vredenburg,Vredenburg,,,,,,577,20,Rough Work,,,,CAPE GLOBAL CONSTRUCTION & ENGINEERING TRAINING CENTRE (Vredenburg)(TP,,,
373,Cape Global Construction And Engineering Training Centre Pty Ltd,,marinus@capeglobal.co.za,0,0,022-713 5055,,,,0,,,,,,,,,578,9,Rough Work,,,,0,,,
374,Cape Information Technology Initiative,,chris@bwb.org.za,P O Box 10276 Cape Town 8000,"3rd Floor, Block B, Woodstock Exchange 66-68 Albert Road Woodstock Cape Town Western Cape 8000",021-4097000,3rd Floor,Block B Woodstock Exchange 66-68,,Albert Road,,Woodstock,Cape Town,8000,,,,,579,9,Rough Work,,,,3rd Floor,Block B,,
375,Cape Institute for Agricultural Training: Elsenburg,,francoism@elsenburg.com,0,Cape Institute for Agricultural Training: Elsenbu0rg Muldersvlei weg Elsenburg,021-8085451,,,,Muldersvlei weg,,Elsenburg,Stellenbosch,,,,,,580,20,Rough Work,,,,Cape Institute for Agricultural Training: Elsenburg Muldersvlei weg Elsenburg,,,
376,Cape Peninsula University of Technology,Cape Peninsula University of Technology,,,"Symphony Way, Cape Town 7530",021-959 6767,,,,Symphony Way,,Bellville,,7530,,www.cput.ac.za,,,581,15,Rough Work,,,,Symphony Way,Bellville,,7530
377,Cape Peninsula University of Technology,Cape Peninsula University of Technology,mullermi@cput.ac.za,P O BOX 652 CAPE TOWN WESTERN CAPE 8000,Keizersgracht Street CAPE TOWN WESTERN CAPE 8001,021-9596919/6064,,,,Corner of Keizersgracht and Tennant Street,,Zonnebloem,CAPE TOWN,7925,,,,,582,25,Rough Work,,,,Keizersgracht Street CAPE TOWN WESTERN CAPE 8001,,,8001
378,Cape Printing (Pty) Ltd,,,Cnr Neil Hare & Johan Heyns Streets,Cnr Neil Hare & Johan Heyns Streets,215771360,,,,Cnr Neil Hare & Johan Heyns Streets,,Athlone Industria,ATLANTIS,7349,,,,,583,11,Rough Work,,,,Cnr Neil Hare & Johan Heyns Streets,,,
380,Cape Town Baptist Seminary NPC,,admin@ctbs.org.za,P O Box 38473 Gatesville Cape Town,"52-62 Tarentaal Road, Bridgetown, Athlone, Cape Town, 7764",(021) 637-9020,,,52,Tarentaal Road,,Bridgetown,Athlone,7764,,,,,584,13,Rough Work,,,52,Tarentaal Road,Bridgetown,Athlone,7764
381,CAPE TOWN COMMUNITY COLLEGE,,,,"STRAND STREET, 301(A) MATADOR CENTRE, CAPE TOWN",021-4182345,301(A),MATADOR CENTRE,,STRAND STREET,,CAPE TOWN,CAPE TOWN,,,,,,585,12,Rough Work,301(A),MATADOR CENTRE,,STRAND STREET,CAPE TOWN,CAPE TOWN,
384,Cape Town Society for the Blind,,elize@ctsb.org.za,P O Box 1081 Woodstock Cape Town 7915,45 Salt River Road Salt River Cape Town Western Cape 7925,021-448 4302,,,45,Salt River Road,,Salt River,Cape Town,7925,,,,,586,9,Rough Work,,,,45 Salt River Road Salt River Cape Town Western Cape 7925,,,7925
385,CAPRICORN COMMUNITY LEARNING CENTRE,,,,"VRYGROND AVENUE, CAPRICORN PRIMARY, MUIZENBERG",021-7013693,,CAPRICORN PRIMARY,,VRYGROND AVENUE,,MUIZENBERG,,,,,,,587,12,Rough Work,,CAPRICORN PRIMARY,,VRYGROND AVENUE,MUIZENBERG,,
387,CAT College (Pty) Ltd ,,info@catcollege.co.za,,"47 - ON -Strans, Strand Street Cape Town",0861 225 226,,47 - ON -Strans,47,Strand Street,,Strand Street Cape Town,Cape Town,,,,,,588,2,Rough Work,,47 - ON -Strans,47,Strand Street,Strand Street Cape Town,Cape Town,
389,Center for Creative Education,,willem@cfce.org.za,PO Box 280 Plumstead 7801,4 Victoria Road Plumstead Cape Town 7800,021- 797 6802,,,4,Victoria Road,,Plumstead,Cape Town,,,,,,589,25,Rough Work,,,,4 Victoria Road Plumstead Cape Town 7800,,,7800
39,Molokutho Engineering Holding (Pty) Ltd T/A MTA - Mitchells Plain Training Academy (MITCHELLS PLAIN) (TP),,info@molokutho.co.za,"P O Box 161, Soneike, KUILS RIVER, 7579","Denel Site, 100 Swartklip Road, MITCHELLS PLAIN, 7785",021 376-4794,,Denel Site,100,Swartklip Road,,Mitchells Plain,,7785,,,,,590,8,Rough Work,,,,Denel Site,100 Swartklip Road,,7785
390,CENTRAL KAROO CLC,,,,"FIRST AVENUE, HILLSIDE, BEAUFORT WEST",023-4143834,,,,FIRST AVENUE,,HILLSIDE,BEAUFORT WEST,,,,,,591,12,Rough Work,,,,FIRST AVENUE,HILLSIDE,BEAUFORT WEST,
391,Centre For Conflict Resolution,,Karin@ccr.uct.ac.za,PO BOX 14047 Observatory CAPE TOWN Western Cape 7705,2 Dixton Road Observatory Cape Town 7025,021- 689 1005,,,2,Dixton Road,,Observatory,Cape Town,,,,,,592,25,Rough Work,,,,2 Dixton Road Observatory Cape Town 7025,,,7025
392,Centre for Creative Education/Iziko La Bantu Be Afrika NPC,,info@cfe.org.za,"McGregor House, 4 Victoria Road, Plumstead, 7801.","McGregor House, 4 Victoria Road, Plumstead, 7801.",(021) 797-6802,,McGregor House,4,Victoria Road,,Plumstead,,7801,,,,,593,13,Rough Work,,McGregor House,4,Victoria Road,Plumstead,,7801
393,Centre for Early Childhood Development,,cecd@iafrica.com,P O Box 2363 Clareinch 7740,20 Rosmead Avenue Claremont 7708,021- 683 2420,,,20,Rosmead Avenue,,Claremont,,,,,,,594,25,Rough Work,,,,20 Rosmead Avenue Claremont 7708,,,7708
396,"Centurion Kollege vir Beroepsonder-rig, Site name: Northlink  FET College -Parow Campus",,,NORTHLINK COLLEGE-PAROW CAMPUS PRIVATE BAG X1 PANORAMA 7500,,021- 931 8238,,,,Connaught Road,,PAROW VALLEY,,,,,,,595,25,Rough Work,,,,,,,
399,CHATSWORTH CLC,,,,"CHATSWORTH PRIMARY, CHATSWORTH, MALMESBURY",022-4864541,,CHATSWORTH PRIMARY,,CHATSWORTH,,CHATSWORTH,MALMESBURY,,,,,,596,12,Rough Work,,CHATSWORTH PRIMARY,,CHATSWORTH,CHATSWORTH,MALMESBURY,
4,HENTIQUE LTD (Diep River),,roger@proactrf.co.za,"Postnet Suite 6, Private Bag X3, PLUMSTEAD, 7801","27C Estmil Road, DIEP RIVER",021 713-1701,,,27C,Estmil Road,,Diep River,,7800,,,,,597,8,Rough Work,,,,27C Estmil Road,DIEP RIVER,,
401,CHIPPA INVESTMENT HOLDINGS CC ,Chippa Investment Holdings ,demakatso@chippa.net,"2 KINDROGGAN FL, Cape Town, Western Cape 7405","2 KINDROGGAN FL, Cape Town, Western Cape 7405",021-3870904,,,2,KINDROGGAN FL,,Cape Town,,7405,,,,,598,18,Rough Work,,,,2 KINDROGGAN FL,Cape Town,,7405
402,Chippa Investment Holdings ,Chippa Investment Holdings ,demakatso@chippa.net,"2 KINDROGGAN FL, Cape Town, Western Cape 7405","2 KINDROGGAN FL, Cape Town, Western Cape 7405",021-3870904,,,2,KINDROGGAN FL,,Cape Town,,7405,,,,,599,18,Rough Work,,,,2 KINDROGGAN FL,Cape Town,,7405
403,CITRUSDAL PRIMÊR CLC,,,,"ANEMONE STREET, CITRUSDAL, CITRUSDAL",027-4822223,,,,ANEMONE STREET,,CITRUSDAL,CITRUSDAL,,,,,,600,12,Rough Work,,,,ANEMONE STREET,CITRUSDAL,CITRUSDAL,
404,City of Cape Town - Maitland Training Centre,City of Cape Town,Denis.Philander@capetown.gov.za,P O Box 82 Cape Town 8000,Unit H; Maitland Business Park Voortrekker Road Maitland 8000,(021) 532 0762; 082 244 1873,,Maitland Business Park,,Voortrekker Road,,Maitland,,8000,,,,,601,26,Rough Work,,,,Unit H; Maitland Business Park Voortrekker Road  8000,Maitland,,7405
405,CITY OF CAPE TOWN ALC,City of Cape Town,,,"CNR NEW EISLEBEN/MILLER STREET,CROSS ROADS, NYANGA",021-3861223,,,,CNR NEW EISLEBEN/MILLER STREET,,CROSS ROADS,NYANGA,,,,,,602,12,Rough Work,,,,CNR NEW EISLEBEN/MILLER STREET,CROSS ROADS,NYANGA,
407,City Varsity t/a Film & Television & Multimedia School,,info@cityvarsity.co.za,PO Box 37180 OVERPORT Durban,"Cape Town: 32 Kloof Street Gardens, Cape Town, 8001.",(031) 713 3808,,,32,Kloof Street,,Gardens,,8001,,,,,603,13,Rough Work,,,32,Kloof Street,Gardens,,8001
408,CITY VIEW BUSINESS COLLEGE AND COMPUTER STUDIES ,,info@cityviewcollege.co.za,,112 Long street 3rd floor Twinell House,071-9031098,3rd floor,Twinell House,112,Long street,,Cape Town,,,,,,,604,18,Rough Work,,,,112 Long street 3rd floor Twinell House,,,
409,Clarion Printed Products,,michael@clarion.co.za,P O Box 330,,021- 534 2521,,,118,Bofors Circle,,Epping,,7460,,,Michael Maharaj,,605,4,,,,,118 Bofors Circle,Epping,,7460
41,MOTOR ELECTRODIESEL SERVICE (PTY) LTD (MOTOLEK) (Epping),,sjb.med@mweb.co.za,"P O Box 1027, EPPINDUST, 7475","2 Gunners Circle, Epping, CAPE TOWN, 7460",021 534-7065,,,2,Gunners Circle,,Epping,,7460,,,,,606,8,Rough Work,,,,2 Gunners Circle,Epping,,7460
410,Climal Creative Projects,,catizatraining@gmail.com,,,832696794,,Somerset Place,3,Saint Patrick Avenue,,Seawinds,,7945,,,,,607,22,,,,,3 Somerset Place,,,7945
411,CLOETESVILLE SECONDARY ALC,,,,"CURRY STREET, CLOETESVILLE, STELLENBOSCH",021-8828357,,,,CURRY STREET,,CLOETESVILLE,STELLENBOSCH,,,,,,608,12,Rough Work,,,,CURRY STREET,CLOETESVILLE,STELLENBOSCH,
412,Clover SA (Pty) Ltd Parow,,info@clover.co.za,"PO Box 579 Parow, 7499",,,,,9,PARIN ROAD   ,,INDUSTRIA,PAROW,,,,,,609,3,Rough Work,,,,,,,
415,COLLABORATIVE MINDS,,humcatr@gmail.com,PO BOX 20443 BIG BAY 7448,5 Kehrweider St Saxon Sea,0,,,5,Kehrweider St,Saxon Sea,Atlantis,Cape Town,7349,,,,,610,3,Rough Work,,,,5 Kehrweider St Saxon Sea,,,
417,COLLEGE OF CAPE TOWN,College of Cape Town TVET College,,Thornton Campus Cnr Cedar & Poplar Roads Thornton CAPE TOWN 8000,Thornton Campus Cnr Cedar & Poplar Roads Thornton CAPE TOWN 8000,845841464,,CCT Thornton Campus,,Cnr Cedar & Poplar Roads,,Thornton,,7460,,,,,611,11,Rough Work,,,,Thornton Campus Cnr Cedar & Poplar Roads Thornton CAPE TOWN 8000,,,
418,College of Cape Town,College of Cape Town TVET College,dhalls@cct.edu.za,P O Box 1054 Cape Town undefined 7780,Crawford Campus Kromboom Road Crawford undefined Western Cape 7780,021-6965133,,Crawford Campus,,Kromboom Road,,Crawford,Cape Town,7780,,,,,612,9,Rough Work,,,,Crawford Campus Kromboom Road Crawford undefined Western Cape 7780,,,7780
419,College of Cape Town,College of Cape Town TVET College,hscheepers@cct.edu.za,"334 Albert Rd, Salt River, Cape Town","334 Albert Rd, Salt River, Cape Town",214046724/214046701,,,334,Albert Rd,,Salt River,,7925,,,,,613,10,Rough Work,,,,334 Albert Rd,Salt River,,
42,MTD MANUFACTURING ENGINEERING (PTY) LTD T/A MICRO TOOL & DIE (Faure),,mtd@icon.co.za,"P O Box 3980, SOMERSET WEST, 7131","Erf 585 - Old Faure Road, Faure, SOMERSET WEST, 7131",021 843 3988,,,Erf 585,Old Faure Road,,Faure,,7131,,,,,614,8,Rough Work,,,,Erf 585 - Old Faure Road,Faure,,7131
421,College of Cape Town,College of Cape Town TVET College,vjacobs@cct.edu.za,P O BOX 726 CAPE TOWN 8000,18 Breda Street Gardens Cape Town,021- 464 3853,,,18,Breda Street,,Gardens,Cape Town,,,,,,615,25,Rough Work,,,,18 Breda Street Gardens Cape Town,,,
423,College of Cape Town - Pinelands Campus,College of Cape Town TVET College,hscheepers@cct.edu.za,P O Box 1054 Cape Town 8000,Pinelands Campus Jan Smuts Drive Pinelands 8000,214 046 724,,Pinelands Campus,,Jan Smuts Drive,,Pinelands,,8000,,,,,616,26,Rough Work,,,,Pinelands Campus Jan Smuts Drive Pinelands 8000,,,
424,College of Cape Town (City Campus) ,College of Cape Town TVET College,,,,,,,,,,,,,,,,,617,2,Rough Work,,,,,,,
425,COLLEGE OF CAPE TOWN (Pinelands Campus)(TP),College of Cape Town TVET College,,,,,,CCT Pinelands Campus,,Jan Smuts Drive,,Pinelands,,7450,,,,,618,8,Rough Work,,,,,,,
427,College of Cape Town FET College,College of Cape Town TVET College,agafieldien@cct.edu.za,P.O Box 1054 Cape Town 8000,"Cnr. NY1 & Ngambu Street Guguletu 7750false,false,1",021 638 3131/637 0606,,,Cnr,Steve Biko Drive & Ngambu Street,,Guguletu,,7750,,,Achmat,Gafieldien,619,16,,,,Cnr,Steve Biko Drive & Ngambu Street,Guguletu,,7750
428,College of Cape Town FET College,College of Cape Town TVET College,dhalls@cct.edu.za,P.O Box 1054 Cape Town 8000,Kromboom Road Crawford 7780,021 696 5133/4/5,,,,Kromboom Road,,Crawford,,7770,,,Deon,Halls,620,16,,,,,Kromboom Road,Crawford,,7770
429,College of Cape Town FET College,College of Cape Town TVET College,foconnell@cct.edu.za,P.O Box 1054 Cape Town 8000,Jan Smuts Drive Pinelands 7405,021 531 2105,,,,Jan Smuts Drive,,Pinelands,,7405,,,Frikkie,O’Connell,621,16,,,,,Jan Smuts Drive,Pinelands,,7405
43,NA / PARTNERSHIP T/A TECHNISKILLS (Meadowridge)(TP),,,,,,,,,,,,,,Unknown,,,,622,8,Rough Work,,,,,,,
430,College of Cape Town FET College,College of Cape Town TVET College,lgroenewald@cct.edu.za,P.O Box 1054 Cape Town 8000,Cnr Longmarket and Buitenkant Street Cape Town 8001,021 462 2053,,,Cnr,Longmarket & Buitenkant Street,,Cape Town,,8001,,,Lodene,Groenewald,623,16,,,,Cnr,Longmarket & Buitenkant Street,Cape Town,,8001
431,College of Cape Town FET College,College of Cape Town TVET College,mmarescia@cct.edu.za,P.O Box 1054 Cape Town 8000,Breda Street Gardens Cape Town 8001,021 461 9418,,,18,Breda Street,,Gardens,,8001,,,Melody,Marescia,624,16,,,,18,Breda Street,Gardens,,8001
432,College of Cape Town FET College,College of Cape Town TVET College,plawrence@cct.edu.za,P.O Box 1054 Cape Town 8000,Cnr of Poplar & Cedar Road Thornton 7460,021 531 9124,,,Cnr,Cedar & Poplar Road,,Thornton,,7460,,,Pat,Lawrence,625,16,,,,Cnr,Cedar & Poplar Road,Thornton,,7460
433,College of Cape Town FET College,College of Cape Town TVET College,treddy@cct.edu.za,P.O Box 1054 Cape Town 8000,Broad Road Wynberg 7800,021 797 5540,,,31,Broad Road,,Wynberg,,7800,,,Tilly,Reddy,626,16,,,,31,Broad Road,Wynberg,,7800
434,College of Cape Town FET College,College of Cape Town TVET College,wdevilliers@cct.edu.za,P.O Box 1054 Cape Town 8000,Cnr of Protea & Eland Street Athlone 7764,021 637 9183,,,Cnr,Protea & Eland Street,,Athlone,,7764,,,Wilma,De Villiers,627,16,,,,Cnr,Protea & Eland Street,Athlone,,7764
435,College of Cape Town: Athlone Campus,College of Cape Town TVET College,,"Cnr of Eland and Protea St, Athlone","Cnr of Eland and Protea St, Athlone",27827062413,,CCT Athlone Campus,,Cnr of Eland and Protea St,,Athlone,,7764,,,,,628,11,Rough Work,,,,Cnr of Eland and Protea St,Athlone,,
436,College of Cape Town: Pineland Campus,College of Cape Town TVET College,,"Jan Smuts Drive, Pinelands","Jan Smuts Drive, Pinelands",27827062413,,CCT Pinelands Campus,,Jan Smuts Drive,,Pinelands,,7450,,,,,629,11,Rough Work,,,,Jan Smuts Drive,Pinelands,,
437,College of Cape Town: Thorton Campus,College of Cape Town TVET College,,"Cnr of Cedar and Poplar Rds, Thornton","Cnr of Cedar and Poplar Rds, Thornton",27827062413,,CCT Thornton Campus,,Cnr of Cedar and Poplar Rds,,Thornton,,7460,,,,,630,11,Rough Work,,,,Cnr of Cedar and Poplar Rds,Thornton,,
438,College of Sustainable Agriculture,,anneke@eli.co.za,Postnet Suite 145 Private Bag X 15 Somerset West Cape Town Metro Urban 7129,College of Sustainable Agriculture 83 Helderberg College Road The Vineyard Somerset West Cape Town Metro Urban 7129,021-855 2848 / 072 5060 402,,,83,Helderberg College Road,,The Vineyard,Somerset West,7129,,,,,631,20,Rough Work,,,,College of Sustainable Agriculture 83 Helderberg College Road The Vineyard Somerset West Cape Town Metro Urban 7129,,,
439,Collotype Labels,,,P.O.Box 891,P.O.Box 891,218720265,,,23,Textile Street & Thesen Street,,PAARL,PAARL,7646,Address Added,,Duplicate Suburb/City,,632,11,Rough Work,,,,P.O.Box 891,,,
44,NEILs AUTOCARE (Montague Gardens),,neilsauto@cybertrade.co.za,"P O BOX 17, TABLE VIEW, 7439","9 - 4th Street, Montague Gardens, CAPE TOWN",021 552-6082,,,9,4th Street,,Montague Gardens,,7741,,,,,633,8,Rough Work,,,,9 - 4th Street,Montague Gardens,,
442,Colors Packhouse (Pty) Ltd,,info@colorsfruit.com,PO Box 7285 Northern-Paarl Northern-Paarl Drakenstein Urban 7623,Colors Packhouse (Pty) Ltd Distillery Street Dal Josafat Paarl 7623,021-8608000,,,,Distillery Street,,Dal Josafat,Paarl,7623,,,,,634,20,Rough Work,,,,Colors Packhouse (Pty) Ltd Distillery Street Dal Josafat Paarl 7623,,,7623
443,Colourtone Press,Colourtone Press,,382 Voortrekker Road,382 Voortrekker Road,219296700,,,,8th Ave and 16th Street,,Elsies River,,7480,,,,,635,11,Rough Work,,,,382 Voortrekker Road,,,
444,Colourtone Press,Colourtone Press,ryan@colourtone.co.za,P O Box 27,,021- 929 6700,,,382,Voortrekker Road,,Goodwood,,7460,,,Ryan Bywater,,636,4,,,,,382 Voortrekker Road,Goodwood,,7460
445,Community Media Trust,Community Media Trust,debbie@beatit.co.za,Main Road Muizenburg 7950,Main Road Muizenburg 7950,021-7883973,,,,Main Road,,Muizenburg,Cape Town,7950,,,,,637,5,Rough Work,,,,Main Road Muizenburg 7950,,,
446,Community Media Trust,Community Media Trust,lucilla@cmt.org.za,P.O Box 62 Muizenberg Cape Town 7950,"06 EB East Block, Tannery Park 23A Belmont Road Rondebosch Cape Town Western Cape 7700",021-788 1963,06 EB,East Block Tannery Park,,Belmont Road,,Rondebosch,Cape Town,7700,,,,,638,9,Rough Work,,,,06 EB East Block,Tannery Park 23A Belmont Road Rondebosch Cape Town Western Cape 7700,,7700
447,Community Water Supply & Sanitation Unit,,lagardiena@cput.ac.za,P O Box 1906 Bellville 7535,Cape Peninsula University Symphony Way Bellville  7535,219 596 639,,Cape Peninsula University,,Symphony Way,,Bellville,,,,,,,639,26,Rough Work,,,,Cape Peninsula University Symphony Way Bellville  7535,,,7535
